Zipcode,Neighborhood,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Median Home Value,Persons with Bachelor Degree,People in Labor Force,People Unemployed,Unemployment Rate
23229,Tuckahoe,32930.0,41.4,71638.0,44244.0,3148.0,9.559672031582144,277800.0,6709.0,17257.0,1162.0,6.733499449498754
23230,Richmond,5360.0,42.0,53606.0,33550.0,433.0,8.078358208955224,203600.0,992.0,3284.0,158.0,4.811205846528623
23231,Richmond,35211.0,38.3,53705.0,26308.0,5371.0,15.253755928545058,181900.0,3569.0,19574.0,2140.0,10.932870133851027
23233,Short Pump,29081.0,38.7,91741.0,44702.0,1361.0,4.680031635775936,307300.0,7663.0,16777.0,810.0,4.828038385885439
23234,Meadowbrook,42360.0,33.7,46279.0,21281.0,7201.0,16.999527856468365,161000.0,3358.0,22085.0,2293.0,10.382612633008831
23235,Bon Air,29522.0,43.6,67956.0,38191.0,2157.0,7.306415554501727,223100.0,6304.0,16448.0,1225.0,7.4477140077821025
23236,Richmond,26234.0,40.8,74141.0,33515.0,1686.0,6.426774414881453,212100.0,4620.0,14609.0,1102.0,7.543295228968444
23237,Richmond,21807.0,36.9,54735.0,23503.0,2369.0,10.863484202320356,167900.0,1711.0,11635.0,1178.0,10.124623979372585
23238,Richmond,25848.0,42.3,64927.0,42323.0,1982.0,7.667904673475705,271100.0,5880.0,13444.0,662.0,4.9241297232966375
23250,Richmond,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,-666666666.0,0.0,0.0,0.0,
23294,Richmond,17222.0,30.6,52071.0,27235.0,1978.0,11.485309487864358,193400.0,2798.0,10350.0,860.0,8.309178743961352
23801,Fort Lee,5351.0,20.0,59138.0,15992.0,305.0,5.699869183330219,-666666666.0,430.0,2516.0,187.0,7.432432432432432
23803,Petersburg,40187.0,37.8,39607.0,20029.0,8763.0,21.805559011620673,147000.0,2202.0,18675.0,2732.0,14.62918340026774
23805,Petersburg,19793.0,42.0,47366.0,25032.0,2538.0,12.82271510129844,160200.0,1850.0,10039.0,974.0,9.702161569877477
